[0.01380202],[0.00131083],[0.03901141],[0.05573519],[0.00371646],[0.0018859],[2.7515473e-05],[0.97863921],[0.00421687],[0.02189379]
[0.00062061],[0.09649391],[0.05720243],[0.83098494],[0.00041391],[0.02376378],[0.00067772],[0.01170158],[0.07480235],[0.0134837]
[0.00080361],[0.0399496],[0.96749751],[0.1768474],[0.00083389],[0.00067994],[0.00591625],[0.00947844],[0.00869505],[0.00059073]
[4.9459613e-05],[0.93426212],[0.02334524],[0.02804366],[0.00082632],[0.01316724],[0.09885766],[0.00491516],[0.0554103],[0.02421923]
[0.91646643],[3.03413724e-05],[0.00232523],[0.00027721],[0.00117082],[0.22669418],[0.01785825],[0.00269699],[0.04555598],[0.00104533]
[0.0041005],[0.00172165],[0.17840277],[0.00223555],[0.01212713],[0.00057547],[0.00105045],[0.24512805],[0.03236491],[0.13343265]
[0.02364184],[0.00945547],[0.00595201],[0.69731775],[0.0025171],[0.25189585],[0.00024183],[0.00431447],[0.15055934],[0.00079697]
[0.00024066],[0.01089418],[0.01465027],[0.00498159],[0.69728001],[0.00025584],[0.00118385],[0.06177814],[0.03207295],[0.22768151]
[0.26197302],[2.86687817e-05],[0.08527735],[0.00163384],[0.00969629],[0.01310107],[0.21077848],[0.01235605],[0.00352293],[0.00303193]
[0.00460725],[0.01014863],[0.0099264],[0.96216577],[0.03266068],[0.0221253],[7.37333467e-05],[0.01003585],[0.01708671],[0.00346569]
[0.00117916],[0.00054883],[7.95566874e-05],[0.06566765],[0.02446469],[0.04618313],[0.00286431],[0.02976968],[0.03248885],[0.8874018]
[0.01279182],[0.01409135],[0.00981907],[0.96140737],[0.00053381],[0.02675894],[0.00085839],[0.00924078],[0.00523607],[0.0003867]
[4.57728324e-05],[0.07502768],[0.34946674],[0.00090501],[0.04215045],[0.01525441],[0.01431183],[0.34664701],[0.0747488],[0.0374583]
[0.17389284],[0.00051729],[0.02309307],[0.01726319],[0.02379807],[0.0870409],[0.00194482],[0.00075337],[0.43929831],[0.00125718]
[0.00520579],[0.00028667],[0.01365977],[0.00022072],[0.03248501],[0.00030794],[0.00608591],[0.16926965],[0.00508555],[0.91798388]
[0.97710806],[0.00011349],[0.10732385],[0.00376174],[0.00047574],[0.01468266],[0.00777946],[0.00736308],[0.00215162],[0.00013254]
[0.03471696],[0.0055323],[0.00083393],[0.83442036],[0.00373987],[0.33977725],[0.00055569],[0.0101607],[0.0132403],[0.00199523]
[0.00358009],[0.03084932],[0.0213152],[0.04776271],[0.00221187],[0.06500485],[0.00186839],[0.01016498],[0.66979274],[0.00149339]
[0.97626085],[0.00010386],[0.06031916],[0.00498641],[0.00030989],[0.01340656],[0.00781784],[0.0341348],[0.00131135],[0.00012403]
[0.0150563],[0.00032171],[9.05423462e-05],[0.01486239],[0.02160596],[0.04728857],[0.00221206],[0.53334518],[0.00677782],[0.3887131]
[0.00095049],[0.03323282],[0.0537583],[0.00025232],[0.01232874],[0.00518578],[0.96248512],[0.00010079],[0.18102563],[0.14727469]
[0.04593643],[0.0016325],[0.00340881],[0.18356438],[0.0022105],[0.74111658],[0.00085234],[0.00294248],[0.01366526],[0.02675303]
[0.00063177],[0.00358203],[0.00144581],[0.00975804],[0.72194231],[0.07654458],[0.01267662],[0.01290651],[0.01251081],[0.05662571]
[0.00116041],[0.00979505],[0.03920676],[0.01203554],[0.0025068],[0.00224599],[6.26818954e-05],[0.96041641],[0.00998421],[0.04756025]
[0.00172074],[0.04451177],[0.02184959],[0.89196994],[0.00031603],[0.0481182],[0.00515458],[0.00330257],[0.00830513],[0.00491353]
[0.49345238],[0.00070572],[0.00040471],[0.16191066],[0.00231784],[0.08485896],[0.00042776],[0.08641363],[0.00101334],[0.00723397]
[0.96565244],[1.77345149e-05],[0.00598778],[0.0002448],[0.00261023],[0.04060815],[0.00987418],[0.00670693],[0.01224437],[0.00045168]
[0.00337355],[0.00922976],[0.02575946],[0.00855785],[0.04139806],[0.24777228],[0.00341533],[0.00542123],[0.28071307],[0.00912227]
[0.18048632],[0.00097237],[0.00170583],[0.0068168],[0.00291814],[0.17100388],[0.70526353],[0.00024765],[0.04571789],[0.01223381]
[0.00208282],[0.01100599],[0.95711856],[0.0641361],[0.00205517],[0.00180126],[0.00758797],[0.01402445],[0.02102783],[0.00022514]
[0.05869461],[0.00016454],[0.0026939],[0.05936988],[0.01108888],[0.94420178],[0.00049496],[0.00703652],[0.10140026],[0.00052067]
[0.00024677],[0.24061252],[0.17625473],[0.00988622],[0.00376776],[0.03722124],[0.3829275],[0.00027607],[0.13291328],[0.0185088]
[0.0002213],[0.96750484],[0.03068898],[0.03186996],[0.00236429],[0.00359192],[0.01348364],[0.03159076],[0.01011766],[0.0030372]
[0.82159568],[5.03886105e-05],[0.0149356],[0.000366],[0.00210942],[0.04761418],[0.02009526],[0.00280557],[0.03077655],[0.00232332]
[0.96090835],[0.00019468],[0.03040617],[0.00243732],[0.00028262],[0.02355709],[0.00474401],[0.00816211],[0.00566992],[0.00068139]
[0.00021276],[0.02180404],[0.02990826],[0.00044676],[0.689161],[0.02501945],[0.02208291],[0.00219536],[0.31801119],[0.06566323]
[0.00077084],[0.0115759],[0.01294242],[0.0015448],[0.63956694],[0.13909877],[0.00314722],[0.0440879],[0.13794481],[0.00707566]
[0.76950446],[0.00062844],[0.0708319],[0.01025817],[0.00089472],[0.00478315],[0.00228583],[0.01647175],[0.02521651],[0.00117976]
[0.00017189],[0.96152045],[0.01132429],[0.03796902],[0.00099039],[0.00350883],[0.03960898],[0.01994822],[0.00944823],[0.01085246]
[0.01524985],[0.00246911],[0.9868314],[0.00255777],[0.00100563],[0.00187141],[0.04874629],[0.00158373],[0.04583274],[0.00192227]
[0.00024457],[0.03038081],[0.01319657],[0.72236308],[0.00110021],[0.04463267],[0.00011208],[0.36001298],[0.03701808],[0.02012802]
[0.00884004],[0.00574336],[0.9647923],[0.04589694],[0.00182906],[0.01942168],[0.06389958],[0.00071026],[0.00336433],[0.00015676]
[0.0002576],[0.03003838],[0.33850627],[0.03884389],[0.00303854],[0.00117708],[0.00071044],[0.36931219],[0.01354112],[0.02971321]
[0.0056965],[0.00255584],[0.04608458],[0.00434483],[0.00189567],[0.00325633],[0.00015819],[0.95222019],[0.02817482],[0.01868235]
[0.00611082],[0.00702146],[0.02317257],[0.00367746],[0.04106899],[0.05957686],[0.00502948],[0.00030496],[0.97844187],[0.01220859]
[0.08666293],[0.00035653],[0.00109435],[0.00033243],[0.04721164],[0.31654646],[0.16036772],[0.00032224],[0.05496634],[0.01560809]
[0.00440334],[0.00248863],[0.98905932],[0.01580417],[0.00191993],[0.00171304],[0.00904573],[0.00361095],[0.0299887],[0.00110767]
[0.15172645],[0.0002768],[0.00846032],[0.0036559],[0.00026874],[0.18337926],[0.00640373],[0.01033009],[0.29282154],[0.00061714]
[0.00325472],[0.00852141],[0.04491721],[0.0006233],[0.00148736],[0.00100072],[0.00098218],[0.88056358],[0.00475286],[0.17975469]
[0.04337137],[6.80068927e-05],[0.0468106],[0.00044165],[0.04934999],[0.06176289],[0.61299142],[0.00395928],[0.00587682],[0.0056483]
[5.34054347e-05],[0.01357715],[0.00195396],[0.00362478],[0.02305102],[0.00562378],[0.00754469],[0.00735948],[0.04920862],[0.95780728]
[3.0762808e-05],[0.96765066],[0.00978784],[0.02233948],[0.00143198],[0.06928712],[0.03228822],[0.01940129],[0.0150703],[0.03342824]
[0.00048231],[0.00293739],[0.00110519],[0.00062301],[0.98598327],[0.00821688],[0.04169244],[0.01379132],[0.00291168],[0.04568941]
[0.00048491],[0.86337987],[0.02915485],[0.03575547],[0.00462003],[0.00543753],[0.00649206],[0.03996613],[0.00981459],[0.00360478]
[0.00175525],[0.01903093],[0.00999875],[0.00131319],[0.01753146],[0.01179932],[0.99395129],[8.40423997e-05],[0.01742855],[0.05291732]
[6.34579481e-05],[0.00670084],[0.00433019],[0.00765267],[0.91917883],[0.03519219],[0.00370907],[0.03016469],[0.02689433],[0.02901571]
[0.00472678],[0.00128068],[0.99040929],[0.01831533],[0.00144522],[0.00070401],[0.00394702],[0.00317751],[0.03301146],[0.00082849]
[0.00184681],[0.00108026],[0.00211198],[0.00026225],[0.86909784],[0.02675914],[0.18787171],[0.00347311],[0.00704325],[0.13893618]
[0.00082018],[0.08773393],[0.00807958],[0.36146873],[0.10244742],[0.01894004],[0.00881527],[0.0020417],[0.02035956],[0.0022757]
[0.00414541],[0.00163503],[2.07143935e-05],[0.01865471],[0.07980349],[0.94434435],[0.03288224],[0.00095726],[0.00330491],[0.10787743]
[0.00069346],[0.00064588],[0.00154108],[0.00328337],[0.75083078],[0.03116049],[0.01168754],[0.01602316],[0.02976244],[0.33455027]
[0.00198074],[0.04500964],[0.02183602],[0.06064168],[0.00027973],[0.01155285],[0.01238615],[0.74943448],[0.00052039],[0.00174455]
[0.00045312],[0.0014732],[7.55349399e-05],[0.15498167],[0.01471411],[0.1136338],[0.00282433],[0.03702901],[0.0265213],[0.81663179]
[0.03825908],[0.00163011],[0.00031819],[0.07221715],[0.00034555],[0.78245586],[0.00022709],[0.09485991],[0.03875316],[0.0273548]
[0.89388765],[0.00077163],[0.02220694],[0.008505],[0.00016527],[0.0231604],[0.00072431],[0.0420236],[0.00462682],[0.00063423]
[4.91889196e-05],[0.95653039],[0.02197441],[0.04235922],[0.00049923],[0.02851561],[0.03392372],[0.01440792],[0.01575192],[0.02463035]
[0.01069972],[0.01409913],[0.00658582],[0.02062097],[0.01723001],[0.39357624],[0.04032172],[0.01436756],[0.00161116],[0.00096661]
[0.00087152],[0.03913244],[0.01237514],[0.7771716],[0.0037113],[0.06404382],[0.00016594],[0.03919512],[0.07948824],[0.02406808]
[0.00056845],[0.02590726],[0.01065213],[0.01823132],[0.01273509],[0.19734034],[0.0009869],[0.00365061],[0.80840045],[0.03215026]
[0.00019806],[0.00422921],[0.00600017],[0.00465341],[0.15476003],[0.0047246],[0.00263618],[0.24680776],[0.01032877],[0.37440513]
[0.00013558],[0.95538655],[0.02299498],[0.03187853],[0.00111893],[0.0027157],[0.06928051],[0.01176004],[0.03769073],[0.00686551]
[0.00096608],[0.00358258],[0.000788],[0.02668191],[0.03248154],[0.01835847],[0.00277034],[0.06700942],[0.00427854],[0.78436326]
[0.00074016],[0.01099827],[5.10600102e-05],[0.01161907],[0.64552875],[0.35705618],[0.10202986],[0.02199007],[0.0010204],[0.20831697]
[0.00162796],[0.00100524],[0.00719295],[0.00064896],[0.16364591],[0.00083196],[0.00590062],[0.16126803],[0.01117709],[0.78806194]
[0.0443659],[0.00056702],[0.00530046],[8.20646545e-05],[0.00838152],[0.62331902],[0.00581145],[0.02139816],[0.07537248],[0.17871671]
[0.00177413],[0.03896249],[0.00196293],[0.34062151],[0.0012653],[0.42870132],[0.00013551],[0.18670248],[0.05276099],[0.05519317]
[0.00165005],[0.03995589],[0.74631946],[0.00086774],[0.01322555],[0.00829439],[0.12835797],[0.0022317],[0.04585804],[0.00381969]
[0.0023042],[0.00375639],[0.02868552],[0.08018716],[0.00265685],[0.00441198],[0.00014786],[0.97549892],[0.00166634],[0.05604425]
[0.00143423],[0.00143015],[0.00014452],[0.01593785],[0.84280764],[0.16617181],[0.01579888],[0.00628516],[0.00528689],[0.18840953]
[0.19905995],[0.00014409],[0.10484819],[0.00021706],[0.02112291],[0.00415643],[0.84153631],[0.00666656],[0.00110694],[0.00376675]
[0.96300592],[0.00018948],[0.0427933],[0.00133604],[0.00047125],[0.01913064],[0.00078758],[0.02659587],[0.00925755],[0.00099344]
[8.95121978e-05],[0.96127028],[0.01314947],[0.01551871],[0.00060472],[0.05766875],[0.03414732],[0.01570992],[0.02592364],[0.01843453]
[1.39814669e-05],[0.2791891],[0.02137298],[0.13207549],[0.00555797],[0.02154559],[0.0103933],[0.00668989],[0.14860113],[0.12387925]
[6.94677767e-05],[0.94736983],[0.03506905],[0.01233595],[0.00261709],[0.0255979],[0.05007559],[0.00778992],[0.01102914],[0.0095382]
[0.98088297],[6.72508213e-05],[0.0130481],[0.00319541],[0.000782],[0.03233302],[0.00688988],[0.00364007],[0.00440218],[0.0005798]
[0.00015841],[0.01450186],[0.00152595],[0.02235933],[0.9485002],[0.17638239],[0.02240101],[0.00268005],[0.02323787],[0.03499843]
[0.00269616],[0.00254949],[0.00077115],[0.01258995],[0.88483158],[0.01089774],[0.06029651],[0.00389715],[0.00248537],[0.17082359]
[0.00457482],[0.00298249],[0.03708231],[0.073384],[0.00557894],[0.00979923],[0.00022891],[0.80271728],[0.00224766],[0.03456105]
[0.00648335],[0.00856288],[0.14024143],[0.00023335],[0.07804335],[0.00019617],[0.87415658],[0.00628916],[0.00560854],[0.00826378]
[0.01129769],[0.01329814],[0.01085572],[0.9533702],[0.00087592],[0.03159192],[0.0006853],[0.0076819],[0.00359399],[0.0005352]
[0.31803128],[3.59076339e-05],[0.00816101],[0.00193653],[0.00294911],[0.04557447],[0.00819448],[0.002566],[0.48073754],[0.01138099]
[0.94443638],[7.0184105e-05],[0.00786093],[0.00039142],[0.00182272],[0.06755624],[0.01374464],[0.00535398],[0.00954583],[0.00022438]
[0.00095859],[0.0019875],[0.00016429],[0.03387443],[0.76566625],[0.02074428],[0.00656334],[0.03690899],[0.00723765],[0.35835322]
[0.00969173],[0.00577984],[0.05346611],[0.96676808],[0.00029333],[0.01249704],[0.00192881],[0.00546357],[0.00468135],[0.00040057]
[0.9338037],[0.00020911],[0.05171494],[0.00274433],[0.00138509],[0.02390415],[0.02188987],[0.004206],[0.00300921],[0.00020518]
[0.00881635],[0.00021866],[0.06266609],[5.37139043e-05],[0.06240822],[0.00175786],[0.81134043],[0.00539739],[0.03403276],[0.07334724]
[0.00238106],[0.82198262],[0.028128],[0.00879295],[0.00087694],[0.02215921],[0.13359191],[0.00290013],[0.05606479],[0.00363779]
[0.00021163],[0.0071908],[0.00245666],[0.04206563],[0.1656267],[0.01575719],[0.00029404],[0.20037403],[0.09823138],[0.32503072]
[0.00158628],[0.00478204],[0.16978399],[0.00024964],[0.07923559],[0.05066318],[0.80708549],[0.00045075],[0.00355018],[0.00113428]
[8.9006259e-05],[0.90857291],[0.00910756],[0.0126912],[0.00201728],[0.20613044],[0.0566798],[0.01006031],[0.01127677],[0.0087051]
[0.00337678],[0.02784097],[0.47892226],[0.47958428],[0.03352565],[0.01343047],[0.0006729],[0.00271747],[0.00708121],[0.0003017]
[0.01161111],[0.01037817],[0.00907305],[0.00346383],[0.00473476],[0.46408735],[0.01019791],[0.00038565],[0.8516738],[0.01322108]
[0.00031199],[0.91292815],[0.06121391],[0.01666035],[0.00208656],[0.0011926],[0.02067407],[0.03107496],[0.02120027],[0.00263221]
[0.01790268],[0.00279075],[0.95504447],[0.01278269],[0.00306987],[0.00717002],[0.01459176],[0.00319049],[0.02645612],[0.00018801]
[0.07861461],[0.00038357],[0.00084667],[0.01642926],[0.00161735],[0.82422047],[0.05531424],[0.00015742],[0.20261496],[0.00748218]
[0.08413684],[0.0011205],[0.27636931],[0.00118531],[0.06611869],[0.0003403],[0.24010214],[0.06858239],[0.00247481],[0.00015637]
[0.00336247],[0.0107575],[0.96696682],[0.00091772],[0.01312259],[0.00087456],[0.19934632],[0.00169426],[0.03727475],[0.00552473]
[0.00092383],[0.1441539],[0.05668644],[0.00030442],[0.28406457],[0.00134024],[0.00263822],[0.54524872],[0.02678371],[0.00527565]
[0.00278553],[0.00291532],[0.00016995],[0.59343723],[0.00365314],[0.54417428],[0.0156432],[0.00491847],[0.00466627],[0.04004111]
[0.00205985],[0.01024858],[0.09830151],[0.00084472],[0.06414333],[0.02436709],[0.7637914],[0.00088395],[0.03039532],[0.00514386]
[0.93541703],[2.40536039e-05],[0.01015573],[0.02442383],[0.00096149],[0.03733219],[0.00648921],[0.00380024],[0.05494488],[0.00282376]
[0.00027096],[0.96917875],[0.02901877],[0.01426182],[0.00424647],[0.00243238],[0.04107412],[0.01098793],[0.07468255],[0.0009255]
[0.00692274],[0.00053725],[0.00744587],[0.00211008],[0.08080981],[0.00396824],[0.00223106],[0.21916864],[0.00259934],[0.64652662]
[0.00624023],[0.00986375],[0.13466981],[0.05507497],[0.00645096],[0.00038683],[0.00022947],[0.98201209],[0.00054081],[0.01434327]
[0.07971243],[0.00010987],[0.11133874],[0.00016068],[0.01162923],[0.00793949],[0.87124084],[0.00382285],[0.00459536],[0.00708423]
[0.00191277],[0.00351454],[0.16128309],[4.16761247e-05],[0.09024391],[0.00117173],[0.94627559],[0.00077219],[0.0143709],[0.00579314]
[0.00017834],[0.03538099],[0.03732096],[0.00468639],[0.12370602],[0.01778369],[0.00626301],[0.0026795],[0.80166627],[0.01901084]
[0.00121866],[0.02306129],[0.00040347],[0.23028837],[0.00449067],[0.0064087],[0.0001235],[0.74413145],[0.04642391],[0.29474122]
[0.02637889],[0.00077038],[0.92931519],[0.00827941],[0.00161365],[0.00385004],[0.00323213],[0.00557178],[0.08823857],[0.00073667]
[0.00566837],[3.10240647e-05],[0.00652434],[0.00087734],[0.11307918],[0.04425951],[0.00574658],[0.25837469],[0.01017765],[0.43846524]
[0.00229662],[0.03117792],[0.00396005],[0.00039818],[0.07862702],[0.70672375],[0.02419641],[0.0016756],[0.13415416],[0.01337321]
[0.00187909],[0.00440946],[0.03684182],[0.00160619],[0.05687697],[0.04190118],[0.00222817],[0.00488877],[0.70939754],[0.01847906]
[0.00138437],[0.01148892],[0.85948946],[0.19262239],[0.00496216],[0.00093558],[0.00068016],[0.00532257],[0.03660989],[0.00059275]
[0.00031668],[0.96810215],[0.02619046],[0.05415766],[0.00246307],[0.00481333],[0.00463463],[0.03728232],[0.00899695],[0.00231596]
[0.9843662],[1.73395038e-05],[0.03306967],[0.00154746],[0.00106698],[0.01189254],[0.00543418],[0.00882864],[0.00510112],[0.00034694]
[0.75160036],[0.00031673],[0.11082476],[0.00428918],[0.00262923],[0.00727971],[0.01642335],[0.01510317],[0.00926973],[0.00026778]
[0.02274287],[0.00082467],[0.00011729],[0.01328108],[0.00170716],[0.02081118],[0.00049514],[0.95239306],[0.01531903],[0.135363]
[0.05031454],[0.00555129],[0.00180702],[0.00332411],[0.01602958],[0.26112757],[0.38638653],[0.00011665],[0.21874655],[0.00181438]
[0.65133756],[0.00060167],[0.01256724],[0.02205144],[0.00072827],[0.04765195],[0.40395733],[0.00252676],[0.00284327],[0.00330762]
[0.00817865],[0.0044361],[0.98154097],[0.0029335],[0.02839256],[0.00064457],[0.14773776],[0.00133344],[0.00881209],[0.00147862]
[0.00118567],[0.82436295],[0.04294037],[0.01158451],[0.00840469],[0.01554791],[0.0017239],[0.02280684],[0.25720315],[0.00037846]
[0.28956647],[0.00033008],[0.05024626],[6.56111766e-05],[0.01662599],[0.01981086],[0.84780398],[0.00310658],[0.00100997],[0.00299525]
[0.00097263],[0.00190515],[0.00103017],[0.01249843],[0.12194637],[0.01809728],[0.00158411],[0.03616823],[0.04340269],[0.68488699]
[0.00464823],[0.00779797],[0.4901912],[0.05254284],[0.00038698],[0.01212366],[0.04293519],[0.01433501],[0.0020142],[0.00067136]
[4.11919717e-05],[0.96698874],[0.01242138],[0.02039049],[0.00067145],[0.03016062],[0.07068174],[0.01258775],[0.01465871],[0.0310013]
[0.06500292],[0.00011184],[0.00188048],[0.0259646],[0.00131462],[0.15155322],[0.00448144],[0.00263175],[0.29134868],[0.0046622]
[0.00792138],[0.00127481],[0.04381543],[7.46356777e-05],[0.0624903],[0.02774118],[0.965888],[0.00310682],[0.0008106],[0.00834394]
[0.00077867],[0.06609505],[0.01041415],[0.00253522],[0.07163502],[0.0097153],[0.02110763],[0.01183854],[0.11855723],[0.13476844]
[0.75280665],[0.00010832],[0.11875304],[0.0005865],[0.00063278],[0.05162903],[0.349538],[0.0019388],[0.00180797],[0.00130835]
[0.00130088],[0.01605072],[0.00647443],[0.0008479],[0.03499747],[0.16677267],[0.82878378],[0.00041814],[0.01723113],[0.01277182]
[0.96262669],[0.0001321],[0.04583875],[0.00467524],[0.00028633],[0.00585709],[0.00923192],[0.03314968],[0.00275366],[0.00069054]
[0.82998972],[4.99286905e-05],[0.02085108],[0.00298694],[0.00202325],[0.15395697],[0.02229112],[0.00132466],[0.02940602],[0.00048405]
[0.93385183],[0.00015636],[0.01682292],[0.00115049],[0.00335709],[0.0659627],[0.01272664],[0.00553157],[0.00553828],[8.16628523e-05]
[0.0007182],[0.03922673],[0.08453085],[0.00019321],[0.03294275],[0.02130119],[0.84771388],[0.00088231],[0.00548373],[0.00254198]
[0.00212005],[0.02607256],[0.05160666],[0.86666499],[0.00995163],[0.00602188],[0.00036223],[0.01096371],[0.01377154],[0.00167757]
[0.00765411],[0.00190707],[0.00010885],[0.05628103],[0.00466573],[0.98342078],[0.00162848],[0.00699134],[0.15921874],[0.035985]
[0.00313047],[0.00034624],[0.00181928],[0.00252529],[0.05421602],[0.03419118],[0.00178192],[0.08547587],[0.28438154],[0.77890307]
[0.00046522],[0.00954021],[0.00064524],[0.05761361],[0.098942],[0.26154542],[0.14452691],[0.02485919],[0.00425801],[0.01015833]
[8.75514658e-05],[0.07235918],[0.00186222],[0.00283252],[0.24918395],[0.00408074],[0.00184823],[0.0613948],[0.02112581],[0.40973258]
[0.02644785],[0.09132337],[0.00532372],[0.04086424],[0.01392059],[0.89260349],[0.0030864],[0.02423206],[0.01202565],[9.003794e-05]
[0.06511593],[0.00055268],[0.0007614],[0.03545768],[0.00304741],[0.96307922],[0.00275694],[0.00131289],[0.0515469],[0.00116266]
[0.00253758],[0.00319345],[0.04223092],[0.00524999],[0.01254433],[0.04366281],[0.00381179],[0.00025745],[0.98370364],[0.00902575]
[0.0593212],[0.00036244],[0.00837071],[0.00169904],[0.00253009],[0.68897312],[0.03050266],[0.00040825],[0.14421796],[0.00313372]
[0.00375177],[0.05177435],[0.06780429],[0.77022036],[0.00181061],[0.01387426],[8.99736228e-05],[0.01102533],[0.32276734],[0.00197842]
[0.93224044],[0.00016875],[0.00786872],[0.00378563],[0.00165205],[0.11357755],[0.03195813],[0.00260457],[0.00588825],[0.0006924]
[0.07024623],[0.00071627],[0.04338915],[0.00098614],[0.66413962],[0.0414459],[0.06179984],[0.0064293],[0.00120687],[0.0023843]
[0.90207441],[0.00010579],[0.08333553],[0.00132652],[0.00132117],[0.08410777],[0.00058964],[0.00341837],[0.03678759],[0.00103629]
[0.31586364],[0.00066904],[0.26193156],[0.33659927],[0.0224698],[0.00200785],[0.0036673],[0.00275868],[0.00113206],[0.00013173]
[0.0004743],[0.00041804],[0.00187178],[0.00219918],[0.22507002],[0.01206408],[0.00449361],[0.07991498],[0.0221302],[0.72580994]
[0.08429294],[0.00018214],[0.0217837],[9.67056314e-05],[0.00318264],[0.08835985],[0.71783577],[0.00060154],[0.00172963],[0.00700675]
[0.00121561],[0.19661473],[0.04888168],[0.01080196],[0.00465818],[0.03269156],[0.00920318],[0.0026201],[0.76834787],[0.00463981]
[0.05633034],[0.00030341],[0.71708218],[0.01435583],[0.00177175],[0.01166798],[0.0036921],[0.01716759],[0.04965831],[0.00055614]
[0.00613416],[0.0132263],[0.00282608],[0.97964769],[0.00201259],[0.03367032],[0.00019117],[0.0221908],[0.00373798],[0.00040178]
[0.0001532],[0.9293309],[0.01308362],[0.00865114],[0.00203842],[0.06897067],[0.05747798],[0.00832381],[0.01206883],[0.01146696]
[0.02417196],[0.00070251],[0.96695968],[0.05024817],[0.00877826],[0.00119743],[0.0124026],[0.0021301],[0.01010115],[0.00112519]
[0.00035552],[0.89450658],[0.02773805],[0.0223088],[0.00229351],[0.00896789],[0.02204015],[0.01302835],[0.01605488],[0.00592469]
[0.00020669],[0.92331177],[0.07347894],[0.03052928],[0.00855907],[0.00465414],[0.00693727],[0.00782519],[0.06331936],[0.00189548]
[0.06486142],[0.00050019],[0.00422973],[0.03595337],[0.0069315],[0.96966985],[0.00020814],[0.00934331],[0.17644194],[0.00317762]
[0.09488582],[0.00038084],[0.19542801],[0.00019848],[0.01378354],[0.00078708],[0.62206218],[0.00665568],[0.00816636],[0.00281485]
[0.00053679],[0.00205744],[0.00037602],[0.0251037],[0.04334411],[0.01037955],[0.00348478],[0.03739763],[0.0107541],[0.88170083]
[0.00732877],[0.01384023],[0.12221305],[0.00064699],[0.04702939],[0.04411072],[0.02344051],[0.00370523],[0.14959388],[0.00945615]
[0.75529591],[0.00037006],[0.04942814],[0.0056421],[0.01576466],[0.0190609],[0.00483623],[0.01520198],[0.00832432],[0.00013408]
[0.00096136],[0.00553446],[0.10898053],[0.00010432],[0.01376313],[0.01353117],[0.9793313],[0.00055067],[0.00504377],[0.00534885]
[0.00130884],[0.01341062],[0.00452276],[0.00717555],[0.02132708],[0.0949468],[0.78380741],[0.00037556],[0.05062809],[0.03114172]
[0.01544407],[0.00090564],[2.03830897e-05],[0.01433394],[0.0094998],[0.69380515],[0.00387263],[0.14813795],[0.00317992],[0.32286865]
[0.02916493],[0.00103287],[0.0004161],[0.01236482],[0.08528367],[0.91620544],[0.00765355],[0.00039544],[0.04776462],[0.01347194]
[0.02795119],[0.02636952],[0.00671744],[0.87323225],[0.01838985],[0.02512572],[0.00235339],[0.00203371],[0.00606012],[0.00072817]
[0.00300697],[0.00465037],[0.04919566],[0.00104067],[0.03045421],[0.01325765],[0.13986335],[0.00011525],[0.8656246],[0.04960239]
[0.06226073],[0.00011299],[0.48920931],[0.00018959],[0.01494918],[0.00051927],[0.62662763],[0.01016336],[0.00651187],[0.01618761]
[0.6581161],[0.00035057],[0.65604096],[0.01353866],[0.00321053],[0.00479599],[0.01570958],[0.00132042],[0.00175545],[6.52671832e-05]
[2.69706669e-05],[0.95376938],[0.00580323],[0.03152498],[0.00128441],[0.06917885],[0.03760236],[0.0089081],[0.0300063],[0.05979481]
[0.00050637],[0.00662449],[0.00010168],[0.02908227],[0.88291293],[0.06588028],[0.0159588],[0.01743719],[0.00585923],[0.08501115]
[0.06482737],[0.00023765],[0.00372696],[3.39736194e-05],[0.22528639],[0.183512],[0.02056209],[0.00651518],[0.02804395],[0.01189996]
[0.00059756],[0.00166242],[0.0063328],[0.00335459],[0.944501],[0.03815434],[0.00542237],[0.03458211],[0.00967802],[0.01859951]
[0.00992754],[0.00787414],[0.13948079],[0.88743968],[0.0013423],[0.00355527],[6.42766175e-05],[0.02057977],[0.01088659],[0.00038314]
[0.00558376],[0.0005858],[0.00060617],[0.00381431],[0.0164606],[0.01483771],[0.00091576],[0.79197159],[0.00658669],[0.40077941]
[0.00145248],[0.00880761],[0.01452094],[0.02586179],[0.00320223],[0.19041126],[0.00151165],[0.00151196],[0.87646393],[0.03277144]
[0.38300726],[0.0011683],[0.00061785],[0.09234732],[3.52150079e-05],[0.22355546],[0.00126677],[0.11502695],[0.01425138],[0.00072661]
[0.83264216],[0.00022891],[0.01127184],[5.40625332e-05],[0.00143343],[0.02802451],[0.08250989],[0.01235764],[0.00206321],[0.00389041]
[0.00031255],[0.00746794],[0.00888923],[0.00122143],[0.37007063],[0.00456881],[0.00652608],[0.00437305],[0.15319361],[0.34882282]
[0.02816732],[0.00364134],[0.09675878],[0.31682438],[0.00030939],[0.21597432],[0.02084573],[0.00455309],[0.001833],[0.00026097]
[0.03661904],[0.00052937],[0.00027813],[0.00817489],[0.00715447],[0.92360609],[0.00763],[0.00055092],[0.30343514],[0.04626335]
[1.5325716e-05],[0.89791303],[0.01132273],[0.030454],[0.00689742],[0.14692594],[0.03227021],[0.00678457],[0.03902443],[0.01777635]
[0.00073772],[0.92392657],[0.04527431],[0.0162318],[0.00120586],[0.0065156],[0.0393689],[0.01288842],[0.01315235],[0.00241826]
[0.98189975],[1.7393584e-05],[0.02227987],[0.0008244],[0.00145757],[0.01610547],[0.00661145],[0.00799463],[0.00660343],[0.00041918]
